naca code,wu1,wu2,wu3,wl1,wl2,wl3,m,p,t,cl,cd,cdp,cm,top_xtr,bot_xtr
NACA 01019,0.2,0.0,0.0,-0.4,-0.4,-0.4,0,10,19,-0.7194,0.009,0.0029,0.1397,0.2842,0.5229
NACA 01019,0.2,0.0,0.0,-0.4,-0.4,-0.2,0,10,19,-0.5713,0.009,0.0026,0.0914,0.2691,0.438
NACA 01018,0.2,0.0,0.0,-0.4,-0.4,0.0,0,10,18,-0.3843,0.009,0.0026,0.0368,0.2496,0.391
NACA 0918,0.2,0.0,0.0,-0.4,-0.4,0.2,0,9,18,-0.1917,0.0092,0.0029,-0.017,0.2274,0.3628
NACA 01017,0.2,0.0,0.0,-0.4,-0.2,-0.4,0,10,17,-0.5624,0.0098,0.0029,0.1097,0.281,0.3282
NACA 01016,0.2,0.0,0.0,-0.4,-0.2,-0.2,0,10,16,-0.4246,0.0092,0.0024,0.0637,0.2661,0.3053
NACA 01016,0.2,0.0,0.0,-0.4,-0.2,0.0,0,10,16,-0.2372,0.009,0.0023,0.0092,0.2454,0.2921
NACA 1916,0.2,0.0,0.0,-0.4,-0.2,0.2,1,9,16,-0.0441,0.0091,0.0026,-0.0442,0.2239,0.2826
NACA 01015,0.2,0.0,0.0,-0.4,0.0,-0.4,0,10,15,-0.4328,0.0102,0.0028,0.0847,0.278,0.1982
NACA 01014,0.2,0.0,0.0,-0.4,0.0,-0.2,0,10,14,-0.2915,0.0095,0.0024,0.0385,0.2626,0.1993
NACA 01014,0.2,0.0,0.0,-0.4,0.0,0.0,0,10,14,-0.1053,0.0092,0.0023,-0.0153,0.242,0.2037
NACA 1814,0.2,0.0,0.0,-0.4,0.0,0.2,1,8,14,0.0848,0.0094,0.0026,-0.0677,0.2198,0.2062
NACA 01013,0.2,0.0,0.0,-0.4,0.2,-0.4,0,10,13,-0.3164,0.0103,0.003,0.0619,0.2759,0.1456
NACA 0513,0.2,0.0,0.0,-0.4,0.2,-0.2,0,5,13,-0.1718,0.0097,0.0026,0.0156,0.2602,0.1485
NACA 1613,0.2,0.0,0.0,-0.4,0.2,0.0,1,6,13,0.0122,0.0094,0.0026,-0.0372,0.239,0.153
NACA 2613,0.2,0.0,0.0,-0.4,0.2,0.2,2,6,13,0.1984,0.0097,0.003,-0.0884,0.2178,0.157
NACA 01015,0.2,0.0,0.0,-0.2,-0.4,-0.2,0,10,15,-0.4693,0.0075,0.0017,0.1103,0.2976,0.6111
NACA 01014,0.2,0.0,0.0,-0.2,-0.4,0.0,0,10,14,-0.2655,0.0077,0.0016,0.0507,0.2728,0.5315
NACA 0914,0.2,0.0,0.0,-0.2,-0.4,0.2,0,9,14,-0.0608,0.008,0.0019,-0.0069,0.2493,0.4753
NACA 01012,0.2,0.0,0.0,-0.2,-0.2,-0.4,0,10,12,-0.5408,0.0063,0.0017,0.1466,0.3211,0.8561
NACA 01012,0.2,0.0,0.0,-0.2,-0.2,-0.2,0,10,12,-0.3343,0.0067,0.0013,0.0839,0.2949,0.6693
